dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,LUM,1,125948,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,MMP2,1,6253,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,MMP3,1,3885,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,MMP9,1,0,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,MMP13,1,115,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,POSTN,1,17571,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,SPARC,1,62423,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,TIMP1,1,107776,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,TIMP2,1,35491,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,ecm_collagen_remodeling,TNC,1,4981,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,CCL2,1,3562,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,CCL5,1,51,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,CXCL8,1,20,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,FOS,1,32562,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,IKBKB,1,389,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,IKBKG,1,685,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,IL1B,1,4,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,IL6,1,248,72099228
GSE230808,GSM7235333,SP21.007,AF,diseased,inflammatory_nfkb,JUN,1,10549,72099228
