dataset,gsm,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE251686,GSM7986004,hypoxia_oxidative_stress,NFE2L2,1,4292,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,NQO1,1,3206,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,PDK1,1,1105,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,PRDX1,1,42313,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,SLC2A1,1,5805,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,SOD1,1,31398,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,SOD2,1,7268,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,TXN,1,35600,59253285
GSE251686,GSM7986004,hypoxia_oxidative_stress,VEGFA,1,14759,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,ACAN,1,78844,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,B3GAT1,0,0,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,BGN,1,194434,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,CILP,1,13731,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,COL2A1,1,599342,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,COL9A1,1,1383,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,COL9A2,1,17782,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,COL9A3,1,33933,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,COMP,1,262387,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,FMOD,1,164451,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,HAPLN1,1,87486,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,HAS2,1,3703,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,KRT19,1,228,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,MATN3,1,261,59253285
GSE251686,GSM7986004,disc_matrix_homeostasis,SOX9,1,19974,59253285
GSE251686,GSM7986005,ecm_collagen_remodeling,ADAMTS4,1,1,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,ADAMTS5,1,17,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,COL1A1,1,1175,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,COL1A2,1,23187,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,COL3A1,1,38220,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,COL5A1,1,6975,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,COL5A2,1,7405,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,COL6A1,1,16292,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,COL6A2,1,14708,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,COL6A3,1,4516,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,DCN,1,261351,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,FN1,1,155729,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,LOX,1,2485,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,LOXL2,1,7483,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,LUM,1,158796,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,MMP2,0,0,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,MMP3,1,95,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,MMP9,0,0,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,MMP13,0,0,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,POSTN,1,667,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,SPARC,1,177705,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,TIMP1,1,9423,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,TIMP2,1,2862,11586351
GSE251686,GSM7986005,ecm_collagen_remodeling,TNC,1,803,11586351
GSE251686,GSM7986005,inflammatory_nfkb,CCL2,1,17,11586351
GSE251686,GSM7986005,inflammatory_nfkb,CCL5,1,4,11586351
GSE251686,GSM7986005,inflammatory_nfkb,CXCL8,1,8,11586351
GSE251686,GSM7986005,inflammatory_nfkb,FOS,1,24843,11586351
GSE251686,GSM7986005,inflammatory_nfkb,IKBKB,1,43,11586351
GSE251686,GSM7986005,inflammatory_nfkb,IKBKG,1,1,11586351
GSE251686,GSM7986005,inflammatory_nfkb,IL1B,0,0,11586351
GSE251686,GSM7986005,inflammatory_nfkb,IL6,0,0,11586351
GSE251686,GSM7986005,inflammatory_nfkb,JUN,1,34032,11586351
GSE251686,GSM7986005,inflammatory_nfkb,NFKB1,1,97,11586351
GSE251686,GSM7986005,inflammatory_nfkb,NFKB2,1,53,11586351
GSE251686,GSM7986005,inflammatory_nfkb,NFKBIA,1,4405,11586351
GSE251686,GSM7986005,inflammatory_nfkb,NLRP3,0,0,11586351
GSE251686,GSM7986005,inflammatory_nfkb,RELA,1,416,11586351
GSE251686,GSM7986005,inflammatory_nfkb,RELB,1,29,11586351
GSE251686,GSM7986005,inflammatory_nfkb,STAT3,1,834,11586351
GSE251686,GSM7986005,inflammatory_nfkb,TICAM1,1,131,11586351
GSE251686,GSM7986005,inflammatory_nfkb,TLR2,0,0,11586351
GSE251686,GSM7986005,inflammatory_nfkb,TLR4,1,18,11586351
GSE251686,GSM7986005,inflammatory_nfkb,TNF,1,31,11586351
GSE251686,GSM7986005,inflammatory_nfkb,TNFRSF1A,1,948,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,BNIP3,1,8209,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,CA9,1,6174,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,EGLN1,1,871,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,EPAS1,1,195,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,GCLM,1,104,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,GPX1,1,1302,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,HIF1A,1,2624,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,HMOX1,1,208,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,LDHA,1,24998,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,NFE2L2,1,561,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,NQO1,1,138,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,PDK1,1,253,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,PRDX1,1,6688,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,SLC2A1,1,2490,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,SOD1,1,8155,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,SOD2,1,502,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,TXN,1,4310,11586351
GSE251686,GSM7986005,hypoxia_oxidative_stress,VEGFA,1,7433,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,ACAN,1,26188,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,B3GAT1,0,0,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,BGN,1,48024,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,CILP,1,59673,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,COL2A1,1,126297,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,COL9A1,1,14,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,COL9A2,1,2440,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,COL9A3,1,6810,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,COMP,1,169500,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,FMOD,1,91689,11586351
GSE251686,GSM7986005,disc_matrix_homeostasis,HAPLN1,1,15002,11586351
