dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,supplied_value_sum,total_supplied_value
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,MMP2,1,178.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,MMP3,1,816.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,MMP9,1,5145.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,MMP13,1,57.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,POSTN,1,1382.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,SPARC,1,15529.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,TIMP1,1,357.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,TIMP2,1,11667.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,ecm_collagen_remodeling,TNC,1,860.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,CCL2,1,200.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,CCL5,1,816.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,CXCL8,1,200811.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,FOS,1,32862.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,IKBKB,1,307.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,IKBKG,0,0.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,IL1B,1,33605.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,IL6,1,191.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,JUN,1,4397.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,NFKB1,1,1989.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,NFKB2,1,614.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,NFKBIA,1,22214.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,NLRP3,1,780.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,RELA,1,1390.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,RELB,1,151.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,STAT3,1,2509.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,TICAM1,1,113.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,TLR2,1,2221.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,TLR4,1,2807.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,TNF,1,502.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,inflammatory_nfkb,TNFRSF1A,1,1328.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,BNIP3,1,586.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,CA9,1,74.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,EGLN1,1,558.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,EPAS1,1,171.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,GCLM,1,917.00000000,8815975.00000000
GSE165722,GSM5048710,Sample3,NP,mild,hypoxia_oxidative_stress,GPX1,1,469.00000000,8815975.00000000
