dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,COL1A1,9,34334,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,COL1A2,9,84733,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,COL3A1,9,22389,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,COL5A1,9,2005,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,COL5A2,9,10435,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,COL6A1,9,35382,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,COL6A2,9,43256,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,COL6A3,9,30394,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,DCN,9,726879,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,FN1,9,296829,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,LOX,9,43583,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,LOXL2,9,1448,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,LUM,9,309256,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,MMP2,9,15219,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,MMP3,9,458,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,MMP9,9,0,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,MMP13,9,3,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,POSTN,9,5177,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,SPARC,9,41320,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,TIMP1,9,261260,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,TIMP2,9,43071,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,ecm_collagen_remodeling,TNC,9,4794,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,CCL2,9,3356,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,CCL5,9,20,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,CXCL8,9,26,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,FOS,9,5024,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,IKBKB,9,561,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,IKBKG,9,903,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,IL1B,9,3,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,IL6,9,95,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,JUN,9,11965,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,NFKB1,9,1377,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,NFKB2,9,347,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,NFKBIA,9,2775,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,NLRP3,9,6,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,RELA,9,1946,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,RELB,9,547,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,STAT3,9,4685,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,TICAM1,9,381,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,TLR2,9,42,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,TLR4,9,568,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,TNF,9,0,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,inflammatory_nfkb,TNFRSF1A,9,10022,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,BNIP3,9,43260,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,CA9,9,780,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,EGLN1,9,2772,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,EPAS1,9,5205,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,GCLM,9,5363,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,GPX1,0,0,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,HIF1A,9,18225,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,HMOX1,9,93569,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,LDHA,9,110560,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,NFE2L2,9,9458,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,NQO1,9,10604,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,PDK1,9,1232,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,PRDX1,9,68438,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,SLC2A1,9,3093,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,SOD1,9,49576,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,SOD2,9,45032,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,TXN,9,96041,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,hypoxia_oxidative_stress,VEGFA,9,2060,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,ACAN,9,14301,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,B3GAT1,9,0,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,BGN,9,8774,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,CILP,9,768,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,COL2A1,9,6,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,COL9A1,9,6,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,COL9A2,9,201,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,COL9A3,9,44,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,COMP,9,579,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,FMOD,9,6789,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,HAPLN1,9,16690,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,HAS2,9,787,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,KRT19,9,2130,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,MATN3,9,81,80129456
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,SOX9,9,6129,80129456
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,ADAMTS4,10,14,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,ADAMTS5,10,3030,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,COL1A1,10,40489,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,COL1A2,10,98444,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,COL3A1,10,27943,90844059
